,msa,element_1,skills_lq_1
0,10180,1.A.1.a.1,1.0019664756848492
1,10180,1.A.1.a.2,0.9870153859039383
2,10180,1.A.1.a.3,1.0048060964572372
3,10180,1.A.1.a.4,0.9870976203569436
4,10180,1.A.1.b.1,0.9771782956840612
5,10180,1.A.1.b.2,0.9785460782203886
6,10180,1.A.1.b.3,0.9982082955783841
7,10180,1.A.1.b.4,0.9851455885954808
8,10180,1.A.1.b.5,0.9894720549837539
9,10180,1.A.1.b.6,0.9957467416134904
10,10180,1.A.1.b.7,0.998075150982924
11,10180,1.A.1.c.1,0.9820799930353736
12,10180,1.A.1.c.2,0.9879290457011249
13,10180,1.A.1.d.1,1.0127045070824903
14,10180,1.A.1.e.1,1.000893603414093
15,10180,1.A.1.e.2,0.9913244851489993
16,10180,1.A.1.e.3,1.000454688850358
17,10180,1.A.1.f.1,1.0204788418066357
18,10180,1.A.1.f.2,0.9844950876957563
19,10180,1.A.1.g.1,1.004720506650751
20,10180,1.A.1.g.2,1.0324536793146446
21,10180,1.A.2.a.1,1.0479818732379393
22,10180,1.A.2.a.2,1.0457076705704196
23,10180,1.A.2.a.3,1.0179158255477299
24,10180,1.A.2.b.1,1.0364720168303947
25,10180,1.A.2.b.2,1.0530899434073409
26,10180,1.A.2.b.3,1.0706662787260581
27,10180,1.A.2.b.4,1.007543872933781
28,10180,1.A.2.c.1,1.029840784457194
29,10180,1.A.2.c.2,1.0391241287680777
30,10180,1.A.2.c.3,1.0893133649374314
31,10180,1.A.3.a.1,1.0892906639449929
32,10180,1.A.3.a.2,1.0613194760573281
33,10180,1.A.3.a.3,1.0626133376647824
34,10180,1.A.3.a.4,1.0582285120043224
35,10180,1.A.3.b.1,1.092646566163319
36,10180,1.A.3.c.1,1.084813982654892
37,10180,1.A.3.c.2,1.036652594635836
38,10180,1.A.3.c.3,1.1081607958722755
39,10180,1.A.3.c.4,1.1126202588411183
40,10180,1.A.4.a.1,1.0007752442111983
41,10180,1.A.4.a.2,1.0028089331148755
42,10180,1.A.4.a.3,1.011777923057148
43,10180,1.A.4.a.4,1.0170952220788352
44,10180,1.A.4.a.5,1.0021789970649637
45,10180,1.A.4.a.6,0.9916949345937837
46,10180,1.A.4.a.7,1.0165825782255324
47,10180,1.A.4.b.1,1.0362277812474916
48,10180,1.A.4.b.2,1.0196614781933013
49,10180,1.A.4.b.3,1.0435726211688898
50,10180,1.A.4.b.4,1.018316295011931
51,10180,1.A.4.b.5,1.0124269040526233
52,10180,2.A.1.a,0.9884498057820551
53,10180,2.A.1.b,1.0060445398772189
54,10180,2.A.1.c,0.9859441187332408
55,10180,2.A.1.d,1.0014231028279141
56,10180,2.A.1.e,0.976527962629721
57,10180,2.A.1.f,0.8458270329867452
